title,date,url
"COMPSCI 70, LEC 001 (Spring 2026)",4/9,https://kaf.berkeley.edu/media/t/1_tu941thg/397920713
COMPSCI 70 (Spring 2026) Lecture 20,4/7,https://kaf.berkeley.edu/media/t/1_dcg7ktaz/397920713
hw10walkthrough,4/6,https://kaf.berkeley.edu/media/t/1_l5qdwagb/397920713
COMPSCI 70 (Spring 2026) Lecture 19,4/2,https://kaf.berkeley.edu/media/t/1_y1sjuh9i/397920713
COMPSCI 70 (Spring 2026) Lecture 18,3/31,https://kaf.berkeley.edu/media/t/1_hckxu1iz/397920713
HW 8 Walkthrough,3/30,https://kaf.berkeley.edu/media/t/1_julxk8f2/397920713
COMPSCI 70 (Spring 2026) Lecture 17,3/19,https://kaf.berkeley.edu/media/t/1_8170v2ch/397920713
Discussion 7B Walkthrough,3/17,https://kaf.berkeley.edu/media/t/1_88xptqjf/397920713
COMPSCI 70 (Spring 2026) Lecture 16,3/17,https://kaf.berkeley.edu/media/t/1_0arp2clc/397920713
COMPSCI 70 (Spring 2026) Lecture 15,3/10,https://kaf.berkeley.edu/media/t/1_bhs9f2on/397920713
COMPSCI 70 (Spring 2026) Lecture 14,3/5,https://kaf.berkeley.edu/media/t/1_y83rifhr/397920713
COMPSCI 70 (Spring 2026) Lecture 13,3/3,https://kaf.berkeley.edu/media/t/1_xykex7h7/397920713
COMPSCI 70 (Spring 2026) Lecture 12,2/26,https://kaf.berkeley.edu/media/t/1_srmo12vi/397920713
COMPSCI 70 (Spring 2026) Lecture 11,2/24,https://kaf.berkeley.edu/media/t/1_q1kb54fx/397920713
COMPSCI 70 (Spring 2026) Lecture 10,2/19,https://kaf.berkeley.edu/media/t/1_l3c7sxmn/397920713
COMPSCI 70 (Spring 2026) Lecture 9,2/17,https://kaf.berkeley.edu/media/t/1_14rd9k16/397920713
COMPSCI 70 (Spring 2026) Lecture 8,2/12,https://kaf.berkeley.edu/media/t/1_vz2xiwv2/397920713
"COMPSCI 70, LEC 001 (Spring 2026)",2/10,https://kaf.berkeley.edu/media/t/1_cd7pbuef/397920713
COMPSCI 70 (Spring 2026) Lecture 7,2/10,https://kaf.berkeley.edu/media/t/1_oxlgoglp/397920713
COMPSCI 70 (Spring 2026) Lecture 6,2/5,https://kaf.berkeley.edu/media/t/1_ze0lmz0u/397920713
COMPSCI 70 (Spring 2026) Lecture 5,2/3,https://kaf.berkeley.edu/media/t/1_c70ibvdr/397920713
COMPSCI 70 (Spring 2026) Lecture 4,1/29,https://kaf.berkeley.edu/media/t/1_pwm51ul2/397920713
COMPSCI 70 (Spring 2026) Lecture 3,1/27,https://kaf.berkeley.edu/media/t/1_s6vsfj76/397920713
COMPSCI 70 (Spring 2026) Lecture 2,1/22,https://kaf.berkeley.edu/media/t/1_t26mfgyd/397920713
COMPSCI 70 (Spring 2026) Lecture 1,1/20,https://kaf.berkeley.edu/media/t/1_ygo1kjvk/397920713
