date,url
1/20,https://bcourses.berkeley.edu/courses/1551726/pages/lecture-1
1/22,https://bcourses.berkeley.edu/courses/1551726/pages/lecture-2
1/27,https://bcourses.berkeley.edu/courses/1551726/pages/lecture-3-4
1/29,https://bcourses.berkeley.edu/courses/1551726/pages/lecture-4
2/3,https://bcourses.berkeley.edu/courses/1551726/pages/lecture-5
2/5,https://bcourses.berkeley.edu/courses/1551726/pages/lecture-6
2/10,https://bcourses.berkeley.edu/courses/1551726/pages/lecture-7
2/12,https://bcourses.berkeley.edu/courses/1551726/pages/lecture-8
2/17,https://bcourses.berkeley.edu/courses/1551726/pages/lecture-9
2/19,https://bcourses.berkeley.edu/courses/1551726/pages/lecture-10
2/24,https://bcourses.berkeley.edu/courses/1551726/pages/lecture-11
2/26,https://bcourses.berkeley.edu/courses/1551726/pages/lecture-12
3/3,https://bcourses.berkeley.edu/courses/1551726/pages/lecture-13
3/5,https://bcourses.berkeley.edu/courses/1551726/pages/lecture-14
3/10,https://bcourses.berkeley.edu/courses/1551726/pages/lecture-15
3/12,https://bcourses.berkeley.edu/courses/1551726/pages/lecture-16
3/17,https://bcourses.berkeley.edu/courses/1551726/pages/lecture-17
3/19,https://bcourses.berkeley.edu/courses/1551726/pages/lecture-18
3/31,https://bcourses.berkeley.edu/courses/1551726/pages/lecture-19
4/2,https://bcourses.berkeley.edu/courses/1551726/pages/lecture-20
